county,number_of_renter_households,number_of_low_income_60_percent_ami_cost_burdened_renter_households,circuit.x,rent_past_due,landlord_files_for_eviction_in_court,landlords_send_notice,clerk_issues_summons,tenant_is_served_eviction_papers,is_the_clerk_accepting_rent_posting_in_person,tenant_must_respond_and_pay_past_due_rent_to_court,sheriff_enforces_writ_of_possession,link_to_sources,bottom_line,clerk_issues_writ_of_possession,clerk_website,circuit_court_website,slug,landlord_files_for_default_judgment,judge_rules_no_hearing_required,note_to_file,small_businesses_included,last_changed,until,note,end_date,created_time.x,id.y,circuit.y,limited_to_non_payment,cause_evictions_allowed,remote_hearings_allowed,emergency_exemption,discretion_of_judge_exemption,commercial_included,only_limits_writs,ao_link,cares_ao,ao_cares_notes,created_time.y,geo,lat,long,geo_method,pt_1_1_evict_init,pt_1_2_evict_init,pt_2_1_protect,pt_2_2_protect,pt_2_3_protect,pt_2_4_protect,pt_2_5_protect,pt_3_1_pending,pt_3_2_pending,pt_4_6_tenant_do,pt_6_howlong,pt_10_01_court,pt_10_02_court,pt_10_03_court,pt_10_08_court,pt_10_09_court,pt_10_10_court,pt_10_11_court,pt_10_12_court,pt_10_13_court,pt_10_14_court
Citrus,11462,3400,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Evictions Suspended,?,https://www.citrusclerk.org/,https://www.circuit5.org/administrative-orders/?term=covid-19,citrus,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-05-22T19:09:57.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recwvq6Kic6wv10OP,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Citrus County, Florida",28.8512851,-82.5141209,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Palm Beach,176970,56727,Fifteenth,✓,?,✖,?,?,✓,?,✖,https://15thcircuit.com/sites/default/files/administrative-orders/12.510.pdf,"Evictions Active, but Tenant Removal Paused",✖,https://www.mypalmbeachclerk.com/,https://www.15thcircuit.com/,palm-beach,?,?,"Sherriff won't evict for 30-60 days
",TRUE,2020-05-21T06:38:58.000Z,2020-05-29,NA,NA,2020-03-22T20:00:09.000Z,rec92WyJoifDN4Wow,Fifteenth,✖,✖,✓,✖,✖,✓,✓,https://www.15thcircuit.com/sites/default/files/administrative-orders/12.512.pdf,(✓),NA,2020-05-21T02:35:16.000Z,"Palm Beach County, Florida",26.6279798,-80.4494174,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,0,-3,3,-3,3,3,3
Osceola,46286,15639,Ninth,✓,✓,✖,✖,?,✓,✓,✖,https://www.ninthcircuit.org/sites/default/files/AO2020-11-01.pdf,Evictions Suspended,✖,https://www.osceolaclerk.com/,https://www.ninthcircuit.org/news/covid-19-information-and-update,osceola,?,?,"Drop box for rent payments
",NA,2020-06-05T15:39:30.000Z,2020-06-02,NA,NA,2020-03-22T20:00:09.000Z,recuPdvr7GN8wDR7r,Ninth,✖,✖,✖,✖,✖,✓,✖,https://www.ninthcircuit.org/sites/default/files/AO2020-11-01.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Osceola County, Florida",28.0443842,-81.1437541,osm,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,3,0
Walton,7896,1983,First,✓,✓,✖,✓,✓,✓,✓,✖,NA,"Evictions Active, but Tenant Removal Paused",✖,http://clerkofcourts.co.walton.fl.us/,https://www.firstjudicialcircuit.org/,walton,?,?,"Serving writs unless except HUD evictions.
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recnwg5MhJADDAEtM,First,(✓),✖,✓,✓,✓,✓,✓,https://www.firstjudicialcircuit.org/sites/default/files/document_library/WAL%20COVID-19%20Essential%20and%20Critical%20Trial%20Court%20Proceedings%20Plan.pdf,NA,NA,2020-05-21T02:34:53.000Z,"Walton County, Florida",30.6204939,-86.1912678,osm,8,2,0,0,NA,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,3,3,0
Lake,33965,9246,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Evictions Suspended,?,https://www.lakecountyclerk.org/,https://www.circuit5.org/administrative-orders/?term=covid-19,lake,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-05-22T19:10:06.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recX4PcVRpQjwVjp1,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Lake County, Florida",28.7006859,-81.78994,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Taylor,1820,378,Third,✓,?,✖,?,?,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,"Evictions Active, but Tenant Removal Paused",?,https://www.taylorclerk.com/,https://thirdcircuitfl.org/,taylor,?,?,"TRLS confirmed with sheriff that no writs are being served as of sheriff 3/26
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recZ8PVlrTlGLsD0L,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Taylor County, Florida",30.0926733,-83.6377926,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Bradford,2403,536,Eighth,✓,✓,✖,✖,✓,?,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Evictions Suspended,✖,https://www.bradfordcountyfl.gov/circuit_court,https://circuit8.org/covid-19/,bradford,?,?,"Extension to June 2: <https://circuit8.org/wp-content/uploads/11.31-Extension-of-Foreclosure-and-Evictions.pdf>
",TRUE,2020-06-05T15:39:30.000Z,2020-06-02,Residential and commercial  evictions for non-payment are suspended,NA,2020-03-22T20:00:09.000Z,recS9Pghr6gOtVASo,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Bradford County, Florida",29.9715087,-82.1608653,osm,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,3,0
Monroe,14219,4240,Sixteenth,✓,?,✖,?,?,?,✓,✖,http://www.monroecountyem.com/1183/Housings-and-Evictions,"Evictions Active, but Tenant Removal Paused",✖,http://www.clerk-of-the-court.com/,http://www.keyscourts.net/covid-19-information-sixteenth-judicial-circuit,monroe,?,?,"3/30 update from phone call with clerk's office: Rent drop box available. They are waiting on supreme court to give directive on evictions. Courts are closed, so some functions may be delayed, but clerk is not making policy change yet.
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recsieSfOWBJYHG0q,Sixteenth,✖,✖,✓,(✓),✓,✓,✓,https://0201.nccdn.net/1_2/000/000/16b/be1/COVID-19-Emergency-Procedures-2.079.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Monroe County, Florida",25.0405135,-80.8337157,osm,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,3,0
Hendry,3804,907,Twentieth,✓,✓,✖,?,✓,✓,✓,✖,NA,"Evictions Active, but Tenant Removal Paused",✓,https://www.hendryclerk.org/,https://www.ca.cjis20.org/home/main/homepage.asp,hendry,?,?,"
",NA,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recE4NvIREVRFRsgY,Twentieth,✖,✓,✓,(✓),✓,?,✓,https://www.ca.cjis20.org/pdf/ao/ao_2_39_amended.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Hendry County, Florida",26.597094,-81.1520667,osm,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Jackson,4903,1103,Fourteenth,✓,?,✖,?,?,?,?,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,"Evictions Active, but Tenant Removal Paused",✖,https://www.jacksonclerk.com/,https://www.jud14.flcourts.org/,jackson,?,✖,"
",TRUE,2020-05-21T02:36:48.000Z,NA,NA,NA,2020-03-22T20:00:09.000Z,recOKdCa3J65qtdxb,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Jackson County, Florida",30.8013861,-85.2063186,osm,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
