x2,state,current_status,state_summary,source_of_action,order_declaration_affects_residential_eviction_civil_proceedings,hyperlink_to_source_not_included_in_state_summary_row,date_of_issue,effective_date,expiration_date,date_moratorium_began_to_lift,remote_hearings_allowed_in_non_emergency_civil_cases,applies_to_civil_cases_which_should_include_eviction_cases,applies_to_eviction_cases_directly,applies_to_commercial_eviction_directly,applies_to_foreclosure_or_foreclosure_eviction_cases_directly,exempts_criminal_activity_damage_to_property_emergency_nuisance_or_cases_to_protect_public_health_from_eviction_freeze,only_applies_to_certain_eviction_cases,if_limited_to_certain_eviction_cases_the_freeze_only_applies_to_these_cases_stage_in_the_process,tolls_extends_or_stays_court_deadlines,date_to_which_deadlines_are_tolled,suspends_all_five_stages_of_eviction_notice_filing_hearing_ruling_execution,x1_suspends_notice_of_eviction_to_tenant,x2_suspends_filing_of_eviction_claim,x3_suspends_hearings_on_eviction,x4_stays_order_judgment_or_writ_of_eviction,x5_suspends_enforcement_of_new_order_of_eviction,prohibits_issuance_of_late_fees_to_landlord,requires_certification_that_property_is_not_covered_under_cares_act_moratorium,brief_summary_of_what_order_does,na,na_2,na_3,na_4,na_5,na_6,na_7,na_8,na_9,na_10,state_field
3,ALABAMA (AL) SUMMARY,Nonpayment Eviction Enforcement Suspended,"The Governor suspended enforcement of eviction orders for nonpayment of rent. Alabama has also suspended in-person civil cases throughout the state, which should have applied to evictions and foreclosures, although it did allow remote proceedings. In person proceedings resumed on May 15. Cities/counties in the state have shied away from explicitly addressing evictions. However, several utility companies have announced that they will not suspend services to customers during the crisis in Birmingham, Decatur, Mobile, and Piedmont.",Court,Y,,,,7/8/20,5/15/20,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/15/20,N,N,N,N,N,Y,N/A,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALABAMA
11,ALASKA (AK) SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"On March 13, the State Supreme Court placed a moratorium on all non-emergency cases including most civil cases, which implicitly applied evictions. This was made explicit by an administrative order issued by the Presiding Judges of four judicial districts in Alaska, which stated that all eviction hearings woiuld be suspended during the duration of general civil case moratorium and gave judges discretion to stay issued eviction orders due to sickness, quarantine, or self-quarantine during the coronavirus crisis. On April 24, the Court resumed evictions not covered under the Governor's executive order or the CARES Act moratorium. The Governor also announced an executive order that would suspend evictions for tenants who recieve rental assistance through the Alaska Housing Finance Corporation, as well as directing the AHFC to suspend foreclosures and evictions. Some localities have suspended utility and water shutoffs. In April, the legislature suspended any statute that would give a cause of action for evictions or foreclosures, but only as it applies to tenants or mortgagees experiencing financial hardship due to COVID-19. The legislation also suspended utility disconnection due to COVID-19 hardship and provided homeless prevention funding.",Court,Y,,,,6/30/20 (legislation),,Y,Y,Y,N,Y,Y,Y,Non-payment related to COVID-19,Y,5/1/20,N,N,COVID-19 Nonpayment Only,Y,N,Local Discretion,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALASKA
19,ARIZONA (AZ) SUMMARY,COVID-19 Eviction Enforcement Suspended,"The Governor has issued a stay on executing all evictions statewide for tenants who can show 1) that they have suffered a substantial loss of income due to COVID-19, 2) that they or a family member have been ordered to stay in quarantine by a medical professional, or 3) that they have a health condition that makes them more at risk to COVID-19. Evictions proceedings are managed by each Superior Court at the local level. So while evictions actions can't be executed, they can still be filed and managed in court. However, Mohave County Court has allowed judges to delay eviction cases if needed. In Phoenix, all city-owned housing is prohibited from evicting tenants. The state supreme court had tolled all eviction deadlines to 5/1/20.",Court/Governor,COVID-19 Related,,,,7/22/20,,N,Y,Y,Y,N,N,Y,Non-payment related to COVID-19,Y,6/1/20 (specifically tolls time in the eviction procedure rules),N,N,N,Local Discretion,N,COVID-19 Related,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARIZONA
27,ARKANSAS (AR) SUMMARY,Evictions Can Resume (Remote),"Arkansas has suspended all in-person proceedings, subject to exceptions that don't include eviction, but has urged judges to conduct matters that they can remotely.",Court,Y,,,,N/A,N,Y,Y,N,N,N,N/A,N/A,N/A,N,Permissible,N,N,N,N,N,N,N,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARKANSAS
34,CALIFORNIA (CA) SUMMARY,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",Court/Governor,COVID-19 Related,,,,post-emergency,,Y,Y,Y,Y,Y,Y,Y,N/A,Y,Deadline for tenant to file a response in an eviction case is extended from 5 days to 60 days; all deadlines that would have expired between March 20 and April 20 are extended by 30 days,N,N,N,Y,N,COVID-19 Related,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CALIFORNIA
41,COLORADO (CO) SUMMARY,Eviction Cases & Enforcement Suspended,"Colorado's Governor issued an executive order that prohibits enforcement of evictions and filing of eviction cases. The order also prohibits late fees. It extends provisions of an earlier order that direct certain departments to work with landlords and banks to find lawful means of avoiding evictions, as well as asks sheriffs and other local enforcement to avoid executing evictions. The governor has also directed that some foreclosure sale deadlines are extended to April 30, and treasurers are authorized to waive delinquent interest on delinquent property tax payments. Colorado's Chief Justice issued an order suspending non-essential court functions; the order gives lower court judges discretion to determine whether matters not specifically mentioned in the order (which evictions are not) should be heard. Nearly all judicial districts and several counties have issued orders continuing most civil matters or ordering them to be done via teleconference. Sheriffs in the city of Denver are not executing orders of eviction. Finally, several utilities providers in Colorado have suspended shutoffs; several towns and cities have asked providers to do the same or else said that they will not disconnect service.",Court/Governor,Local Discretion,,,,5/30/20,,Y,Y,Y,Y,Y,N/A,N,N/A,N,,N,N,Y,Local Discretion,N,Y,Y,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COLORADO
51,CONNECTICUT (CT) SUMMARY,Eviction Cases & Enforcement Suspended,"Per the Governor's order, eviction notices may not be issued to any tenant until July 1. Tenants have a 60-day grace period to pay April rent, and may request an additional 60-day grace period for May rent if they are facing financial hardship due to COVID-19. The Chief Administrative Judge for Civil Matters has announced that execution of evictions is stayed through May 1, and foreclosure sales scheduled for March-May will take place in June. Further, during the time period when only Priority One cases are being heard by the court, all civil trials are suspended. The Governor has also suspended all statutory deadlines relating to the issuance of civil judgments. There is a 30-day utility shutoff moratorium in place as of March 13 and subject to renewal. The Governor announced on 3/31/20 that the state had reached a deal with over 50 credit unions and banks to delay mortgage payments for 90 days.",Court/Governor,Y,,,,7/1/20  (governor),,N,Y,Y,N,Y,N,N,N/A,Y,Suspends all statutory time limits for judges to hear cases/make decisions in civil actions,Y,Y,Y,Y,Y,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CONNECTICUT
58,DELAWARE (DE) SUMMARY,Eviction Cases & Enforcement Suspended,"Governor John Carney issued a comprehensive executive order establishing moratoriums for evictions, foreclosures, and utility shutoffs during the duration of the Covid-19 crisis. The order prevents new filings, tolls deadlines in pending cases until 31 days after the emergency ends, and prevents execution of issued judgments, and prohibits landlords from charging late fees. It also prevents new foreclosure actions, tolls deadlines in ongoing foreclosure cases, and prevents sheriff sales and the execution of writs of possession until 31 days after the emergency ends. The Justice of the Peace Court has also ordered that all landlord/tenant cases and ordered/scheduled evictions between March 17 and April 16 be delayed until after May 1, with exceptions for ""landlord-tenant matters involving essential services and/or harm to persons or property.""",Court/Governor,Y,,,,post-emergency,,Y,Y,Y,N,N,Y,N,N/A,Y,Deadlines in ongoing eviction and foreclosure proceedings are tolled to no sooner than 31st day after state of emergency ends,N,N,Y,Y,N,Y,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DELAWARE
67,FLORIDA (FL) SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until May 29th.",Court/Governor,COVID-19 Related,,,,6/2/20 (governor),,Y,Y,Y,N,Y,N,Y,Non-payment related to COVID-19,Y,"requirement for writ of possession to be issued ""forthwith"" is suspended through 4/17",N,N,In Effect Y,In Effect Y,N,N,N,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FLORIDA
75,GEORGIA (GA) SUMMARY,Local Discretion,"Georgia's Supreme Court has issued guidance that courts are to prioritize essential functions from March 14, 2020 to April 13th, 2020 and conduct video proceedings wherever possible. Each circuit, municipal and magistrate court had a slightly different version and date range for adopting this ruling.",Court,Local Discretion,,,,N/A,,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/13/20,N,N,N,N,N,N,N,N,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA
