x2,state,current_status,state_summary,source_of_action,order_declaration_affects_residential_eviction_civil_proceedings,hyperlink_to_source_not_included_in_state_summary_row,date_of_issue,effective_date,expiration_date,date_moratorium_began_to_lift,expired_replaced,prohibits_law_enforcement_from_executing_new_and_past_orders_of_eviction,status_of_non_emergency_civil_court_proceedings,remote_hearings_allowed_in_non_emergency_civil_cases,applies_to_civil_cases_which_should_include_eviction_cases,applies_to_eviction_cases_directly,applies_to_commercial_eviction_directly,applies_to_foreclosure_or_foreclosure_eviction_cases_directly,exempts_criminal_activity_damage_to_property_emergency_nuisance_or_cases_to_protect_public_health_from_eviction_freeze,only_applies_to_certain_eviction_cases,if_limited_to_certain_eviction_cases_the_freeze_only_applies_to_these_cases_stage_in_the_process,tolls_extends_or_stays_court_deadlines,date_to_which_deadlines_are_tolled,suspends_all_five_stages_of_eviction_notice_filing_hearing_ruling_execution,x1_suspends_notice_of_eviction_to_tenant,x2_suspends_filing_of_eviction_claim,x3_suspends_hearings_on_eviction,x4_stays_order_judgment_or_writ_of_eviction,x5_suspends_enforcement_of_new_order_of_eviction,prohibits_issuance_of_late_fees_to_landlord,requires_certification_that_property_is_not_covered_under_cares_act_moratorium,order_declaration_discusses_effect_of_housing_on_public_health,order_declaration_discusses_economic_consequences_on_housing,model_order,brief_summary_of_what_order_does,moratorium_extended_past_emergency_declaration,free_utility_reconnection,no_utility_disconnection,no_reporting_to_credit_bureau,grace_period_to_pay_rent,length_of_time_for_grace_period,no_late_fees,length_of_time_for_no_late_fees,legal_counsel_for_tenants,no_rent_raises,length_of_time_for_no_rent_raises,foreclosure_moratorium,length_of_time_for_foreclosure_moratorium,housing_stabilization,length_of_time_for_housing_stabilization_mm_dd_yyyy,na,na_2,na_3,na_4,na_5,na_6,na_7,na_8,na_9,x,x_2,na_10,na_11,na_12,na_13,na_14,na_15,na_16,na_17,na_18,state_field
3,ALABAMA (AL) CURRENT SUMMARY,Evictions Can Resume (In Person),"The Governor had suspended enforcement of eviction orders for nonpayment of rent, but that order lapsed on June 1. Alabama also suspended in-person civil cases throughout the state, which should have applied to evictions and foreclosures, although it did allow remote proceedings. In person proceedings resumed on May 15. Cities/counties in the state have shied away from explicitly addressing evictions. However, several utility companies have announced that they will not suspend services to customers during the crisis in Birmingham, Decatur, Mobile, and Piedmont.",Court,Y,,,,6/1/20,5/15/20,N,Y,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/15/20,N,N,N,N,N,Y,N/A,N,N,N,N,,N,N,N,N,N,,N,,N,N,,N,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALABAMA
13,ALASKA (AK) CURRENT SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"On March 20, the Governor issued an executive order that suspends evictions for tenants who recieve rental assistance through the Alaska Housing Finance Corporation. On April 10, the legislature passed a bill that suspends any statute that would give a cause of action for evictions or foreclosures, but only as applied to tenants or mortgagees experiencing financial hardship due to COVID-19. The legislation also suspended utility disconnection due to COVID-19 hardship and provided homeless prevention funding. On April 3, the State Supreme Court placed a moratorium on all non-emergency cases.  On April 24, the Court began holding remote eviction hearings in cases not covered under the legislature's prohibition or the CARES Act moratorium.  On June 1, the Supreme Court's moratorium on in-person proceedings ended, but the legislature's prohibition on evictions resulting from COVID-19 financial hardship remains in effect; the Court's current order also continues to recognize judges' discretion to stay issued eviction orders due to sickness, quarantine, or self-quarantine.  Some localities have suspended utility and water shutoffs.",Court,Y,,,,6/30/20 (legislation),,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,Y,Y,Non-payment related to COVID-19,Y,5/1/20,N,N,COVID-19 Related,Y,N,Local Discretion,N,N,Y,N,N,,N,Y,Y,N,N,,N,,N,N,,Y,06/30/20,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALASKA
25,ARIZONA (AZ) CURRENT SUMMARY,COVID-19 Eviction Enforcement Suspended,"The Governor has issued a stay on executing all evictions statewide for tenants who can show (1) that they have suffered a substantial loss of income due to COVID-19, (2) that they or a family member have been ordered to stay in quarantine by a medical professional, or (3) that they have a health condition that makes them more at risk to COVID-19. Evictions proceedings are managed by each Superior Court at the local level. So while evictions actions can't be executed, they can still be filed and managed in court.  Statutory deadlines for courts to hold eviction proceedings are tolled from 3/18-8/1, and that time will not be counted in computing the deadline once the tolling period ends. Mohave County Court has allowed judges to delay eviction cases if needed. In Phoenix, all city-owned housing is prohibited from evicting tenants.",Court/Governor,COVID-19 Related,,,,7/22/20,,N,N,Local Discretion,Y,Y,Y,Y,N,N,Y,Non-payment related to COVID-19,Y,8/1/20 (specifically tolls time in the eviction procedure rules),N,N,N,Local Discretion,N,COVID-19 Related,N,N,N,Y,N,,N,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARIZONA
37,ARKANSAS (AR) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"As of May 18, eviction proceedings may proceed in-person or remotely at the discretion of the presiding judge. However, plaintiffs must certify that the property at issue is not covered by the CARES Act moratorium.",Court,Y,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,until further order (time to serve complaint),N,N,N,N,N,N,N,Y,N,N,N,,N,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARKANSAS
47,CALIFORNIA (CA) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",Court/Governor,COVID-19 Related,,,,post-emergency,,N,Y,Local Discretion,Y,Y,Y,Y,Y,Y,Y,N/A,Y,Deadline for tenant to file a response in an eviction case is extended from 5 days to 60 days; all deadlines that would have expired between March 20 and April 20 are extended by 30 days,N,N,N,Y,N,COVID-19 Related,N,N,Y,Y,Y,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,CALIFORNIA
57,COLORADO (CO) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"Gov. Polis's current executive order requires that landlords must provide tenants with thirty (30) days’ notice of any default for non-payment before initiating or filing action for forcible entry and detainer. The order also prohibits late fees in all cases and requests that landlords implement the model repayment plan created by the Dept. of Local Affairs. The state has established a low-income rental assistance program for households impacted by COVID-19, and has devoted funding to direct housing assistance and legal representation. Nearly all judicial districts and several counties have issued orders continuing most civil matters or ordering them to be done via teleconference. Finally, several utilities providers in Colorado have suspended shutoffs; several towns and cities have asked providers to do the same or else said that they will not disconnect service.",Court/Governor,Local Discretion,,,,6/13/20,6/13/20,N,N,Local Discretion,Y,Y,Y,N,N,N/A,Y,Non-payment related to COVID-19,N,N/A,N,N,N,Local Discretion,N,N,Y,N,N,Y,N,,,,,,,,Y,,,,,,,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,COLORADO
72,CONNECTICUT (CT) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"Per the Governor's order, eviction notices may not be issued to any tenant until August 22nd. Upon request, tenants that are able to show they were economically impacted by COVID-19 can have their landlord apply their security deposit to April, May, June, July, or August's rent. Tenants have a 60-day grace period to pay April rent, and may request an additional 60-day grace period for May rent if they are facing financial hardship due to COVID-19. The Chief Administrative Judge for Civil Matters has announced that execution of evictions is stayed through July 1, and foreclosure sales scheduled for March-May will take place in July. Further, during the time period when only Priority One cases are being heard by the court, all civil trials are suspended. The Governor has also suspended all statutory deadlines relating to the issuance of civil judgments. There is a 30-day utility shutoff moratorium in place as of March 13 and subject to renewal. The Governor announced on 3/31/20 that the state had reached a deal with over 50 credit unions and banks to delay mortgage payments for 90 days.",Court/Governor,Y,,,,8/1/20  (court),,N,Y,All Suspended,N,Y,Y,N,Y,N,N,N/A,Y,Suspends all statutory time limits for judges to hear cases/make decisions in civil actions,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,Y,Y,Y,,Y,,,,,Y,08/22/20,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,CONNECTICUT
89,DELAWARE (DE) CURRENT SUMMARY,Eviction Enforcement Suspended,"On March 24th, Governor John Carney issued a comprehensive executive order establishing moratoriums for evictions, foreclosures, and utility shutoffs during the duration of the Covid-19 crisis. The order prevented new filings, tolled deadlines in pending cases until 31 days after the emergency ends, prevented execution of issued judgments, and prohibited landlords from charging late fees. It also prevented new foreclosure actions, tolls deadlines in ongoing foreclosure cases, and prevented sheriff sales and the execution of writs of possession until 31 days after the emergency ends. The Justice of the Peace Court has also ordered that all landlord/tenant cases and ordered/scheduled evictions between March 17 and April 16 be delayed until after May 1, with exceptions for ""landlord-tenant matters involving essential services and/or harm to persons or property."" On June 30, Governor John Carney issued an executive order peeling away the protections against evictions from his earlier orders. This order allows for the filings of new evictions. These actions, as well as previously filed actions, shall be stayed to determine if ADR or mediation would be appropriate. Tenants shall not be evicted during the declared emergency unless the court deems it necessary in the interest of justice. Tenants shall not be charged late fees from the state of emergency. Foreclosures may also be filed, and any deadlines that had been stayed are now lifted unless the court orders otherwise. Residents shall not be ejected during the emergency unless a judgment was entered in the foreclosure case prior to the start of the COVID-19 emergency. Actions filed should include supporting documents, as directed by the court and supplied by the landlord, that demonstrate that the subject property is not covered by the CARES Act. All utilities in Delaware should provide 4-month payment plans to households affected by COVID-19 that can demonstrate they suffered some impact by the least amount of proof necessary.",Court/Governor,Y,,,,post-emergency,,N,Y,Local Discretion,Y,Y,Y,N,N,Y,N,N/A,Y,Deadlines in ongoing eviction and foreclosure proceedings are tolled to no sooner than 31st day after state of emergency ends,N,N,Y,Y,N,Y,N,N,Y,N,Y,,,,,,,,,,,,,,,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,DELAWARE
103,FLORIDA (FL) CURRENT SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",Court/Governor,COVID-19 Related,,,,8/1/20 (governor),,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,N,Y,Non-payment related to COVID-19,Y,"requirement for writ of possession to be issued ""forthwith"" is suspended through 07/02",N,N,In Effect Y,In Effect Y,N,N,N,N,N,Y,N,,,,,,,,,,,,,,,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,FLORIDA
117,GEORGIA (GA) SUMMARY,Local Discretion,"Georgia's Supreme Court has issued guidance that courts are to prioritize essential functions from March 14, 2020 to April 13th, 2020 and conduct video proceedings wherever possible. Each circuit, municipal and magistrate court had a slightly different version and date range for adopting this ruling.",Court,Local Discretion,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/13/20,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA
