municipality,state,Country,admin_scale,lat,lng,passed,policy_summary,range,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO
Pennsylvania,Pennsylvania,United States,State,40.9699889,-77.7278831,TRUE,"All eviction proceedings requiring compliance with the Landlord and Tenant Act of 1951 and the Manufactured Home Community Rights Act cannot commence for 60 days until July 10, 2020.

All foreclosures requiring compliance with Act 6 and Act 91 cannot commence for 60 days until July 10, 2020. All foreclosure timelines must be computed with a start date of July 10, 2020, at which point any previously delivered Act 6 and Act 91 notices will be deemed delivered andany foreclosure process may commence.",3,Eviction Protection,https://www.governor.pa.gov/wp-content/uploads/2020/05/20200507-TWW-dispossession-of-property-order.pdf,,Eviction Cases Suspended,"The Governor issued an executive order preventing the filing of an eviction and tolling any evictions for 60 days until July 10, 2020. The Supreme Court of Pennysylvania initially placed a freeze on eviction proceedings and judgments through 5/1/20. Supplemental orders have extended this to 5/11/20, after which time the suspension of these proceeings ""shall cease.""",29,8,7,4,0,-5,0,2,0,13,0,USA
Alaska,Alaska,United States,State,64.4459613,-149.680909,TRUE,"Moratorium on eviction for nonpayment of rent until the date the governor determines, under sec. 2 of this Act, that the public health disaster emergency no longer exists, or until June 30, 2020, whichever is earlier.",1,Eviction Protection,http://www.akleg.gov/basis/Bill/Text/31?Hsid=SB0241Z,,COVID-19 Hardship Eviction Cases Suspended,"On March 13, the State Supreme Court placed a moratorium on all non-emergency cases including most civil cases, which implicitly applied evictions. This was made explicit by an administrative order issued by the Presiding Judges of four judicial districts in Alaska, which stated that all eviction hearings woiuld be suspended during the duration of general civil case moratorium and gave judges discretion to stay issued eviction orders due to sickness, quarantine, or self-quarantine during the coronavirus crisis. On April 24, the Court resumed evictions not covered under the Governor's executive order or the CARES Act moratorium. The Governor also announced an executive order that would suspend evictions for tenants who recieve rental assistance through the Alaska Housing Finance Corporation, as well as directing the AHFC to suspend foreclosures and evictions. Some localities have suspended utility and water shutoffs. In April, the legislature suspended any statute that would give a cause of action for evictions or foreclosures, but only as it applies to tenants or mortgagees experiencing financial hardship due to COVID-19. The legislation also suspended utility disconnection due to COVID-19 hardship and provided homeless prevention funding.",7,8,2.5,1,0,-5,0,2,0,-1.5,0,USA
Alameda County,California,United States,County,37.6090291,-121.899142,TRUE,"Alameda County closed its Eviction Court until April 7th and the Sheriff’s Department suspended all eviction enforcement for the time being. On April 21, the Board of Supervisors strengthened its existing ordinance to include a moratorium on evictions for non-payment of rent and no-fault reasons during the state of emergency. This applies to tenants and homeowners alike. For tenants who are financially impacted by the coronavirus crisis, the ordinance allows a 12-month repayment period without late fees. At the end of 12 months, any remaining back rent is converted into a consumer debt. But impacted tenants can never be evicted for their inability to pay rent during the emergency period. In order to qualify for these protections, tenants must provide documentation or a sworn statement demonstrating financial hardship within 45 days of receiving a request from their landlord or 30 days of the end of the state of emergency, whichever is later. These protections extend to all cities and unincorporated areas of the County alike. This means that renters in cities that have not passed local ordinances, like Dublin, are now protected by the County ordinance. In cities with local ordinances, however, residents are protected by the stronger of the two laws.",2,Eviction Protection,http://ebho.org/our-work/covid19-housing-policy/,EBHO; CJJC; ACCE,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",19.5,8,4,1,0,0,0,4,0,1.5,1,USA
San Francisco,California,United States,City,37.7790262,-122.4199061,TRUE,"Moratorium on evictions for residential tenants for most types of evictions (including Ellis Act, but not evictions related to violence, threats of violence, health or safety issues). Also provides for extensions for non-medical reasons. Tenants have 30 days after date rent is due to notify landlords in writing of inability to pay EACH TIME (e.g., every month), and must document inability to pay within 7 days of providing that notice. Tenant automatically receives an additional 30 days to pay. If the tenant then fails to pay, landlord must: (i) inform the tenant in writing of the breach and attempt in good faith to develop a payment plan. Ultimately, the tenant will have up to 6 months following termination of the emergency declaration to repay any back-due rent. The process is outlined here. Moratorium on evictions of commercial tenants licensed to operate in San Francisco and with less than $25 million in annual gross receipts. Tenants have 3 months after the expiration of the Local Emergency to pay back rent. Landlords cannot charge interest or late fees during the Local Emergency Period. 3/15/20 Mayor Breed Executive Order imposing a temporary moratorium on eviction for non-payment of rent by residential tenants directly impacted by the novel coronavirus crisis. Effective during the state of emergency. 3/17/20 Mayor Breed Executive Order for Commercial Tenants effective during the state of emergency.",3,Eviction Protection,https://sfmayor.org/sites/default/files/Twelfth_Supplement_043020.pdf,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",25.5,10,7,5,1,-1,0,4,-1,1.5,-1,USA
Washington,Washington,United States,State,38.8949855,-77.0365708,TRUE,Governor has issued a temporary moratorium on all commerical and residential evictions and prohibits law enforcement from enforcing past orders of eviction. Provides an exception for cases where a landlord/owner can show that eviction is necessary for a public health or safety reason. Late fees cannot be assessed; rent cannot be raised until 6/4,3,Eviction Protection,https://www.governor.wa.gov/sites/default/files/20-19.1%20-%20COVID-19%20Moratorium%20on%20Evictions%20Extension%20%28tmp%29.pdf?utm_medium=email&utm_source=govdelivery,https://www.washingtonlawhelp.org/resource/coronavirus-you-cannot-be-evicted-if-you-cannot-pay-the-rent?ref=QBpps,Eviction Cases & Enforcement Suspended,The Governor of Washington issued a temporary moratorium on all commerical and residential evictions and prohibits law enforcement from enforcing past orders of eviction. The Governor's Proclamation provides an exception for cases where a landlord/owner can show that eviction is necessary for a public health or safety reason.The Governor's order also prohibits property owners from assessing late fees. Seattle has extended eviction protections for 6 months after the state's moratorium expires.,33,8,7,4,0,0,0,4,-0.5,6.5,4,USA
Virgin Islands,Virgin Islands,United States,State,18.4024395,-64.5661642,TRUE,Supreme Court of the Virgin Islands stayed all orders of eviction and foreclosure until 6/1/20. Filings are essential service and will continue to be allowed.,2,,https://www.vicourts.org/UserFiles/Servers/Server_9784218/File/News/2020/Admin%20Order%20-%20COVID%202020-002%20FINAL%20esig%20(002).pdf,,Eviction Cases & Enforcement Suspended,The Supreme Court of the Virgin Islands stayed all orders of eviction and foreclosure not yet executed until 4/27/20. Filings are essential service and will continue to be allowed.,8,0,2,2,0,0,0,2,0,2,0,USA
Northern Mariana Islands,Northern Mariana Islands,United States,State,14.1490205,145.213452483189,TRUE,"All civil trials are suspended and will be rescheduled after June 5. This should include evictions, although the order does not mention them explicitly.",2,,http://nmijudiciary.com/wp-content/uploads/2020/04/2020-ADM-0005-MSC-Order-No.-2-Re-COVID-19-corrected-2.pdf,,Civil Cases Suspended,"All civil trials are suspended and will be resecheduled after June 5. This should include evictions, although the order does not mention them explicitly.",16,0,7,1,0,0,0,2,0,6,0,USA
Guam,Guam,United States,State,13.4501257,144.757551029721,TRUE,"The Supreme Court of Guam has suspended all civil cases through 6/5/20. The Governor of Guam issued an emergency declaration prohibiting the initiation of any eviction or foreclosure actions involving real estate or property, whether rental or otherwise and tolled eviction and foreclosure actions currently in process for the duration of the public health emergency. The order does not clearly halt execution of past orders of eviction.",2,,https://www.guam.gov/wpdev-content/uploads/2020/04/Executive-Order-2020-07-Relative-to-Establishing-a-Moratorium-on-Evictions-Clarifying-Price-Gouging-Prohibitions-and-Providing-for-Telephonic-Participation-in-Public-Meetings.pdf,,Eviction Cases & Enforcement Suspended,"The Supreme Court of Guam has suspended all civil and criminal cases and tolled filing deadlines through 4/15/20. The Governor of Guam issued an emergency declaration prohibiting the initiation of any eviction or foreclosure actions involving real estate or property, whether rental or otherwise and tolled eviction and foreclosure actions currently in process for the duration of the public health emergency. The order does not clearly halt execution of past orders of eviction.",22,0,2,2,0,0,0,2,0,16,0,USA
District Of Columbia,District Of Columbia,United States,State,38.89366125,-76.987883253882,TRUE,"The DC Superior Court suspended landlord tenant and civil cases and stayed eviction and foreclosure cases until at least May 1. The D.C. Council passed emergency legislation prohibiting evictions and late fees during the time period for which the Mayor has declared a public health emergency, which is until at least May 15. The legislation also prohibits utility shutoffs.",3,Eviction Protection,https://ota.dc.gov/sites/default/files/dc/sites/ota/publication/attachments/2020.04.28%20%28FINAL%29%20OTA%20COVID-19%20and%20Tenant%20Rights-Resources.pdf,,Eviction Cases & Enforcement Suspended,"The DC Superior Court suspended landlord tenant and civil cases and stayed eviction and foreclosure cases until at least May 15. The D.C. Council passed emergency legisliation prohibiting filing and execution of evictions, foreclosures, and late fees during the time period for which the Mayor has declared a public health emergency. The legislation also prohibits utility shutoffs and requires a COVID-19 hardship alert on any consumer report. If a property has 5 or more units, property owners must offer tenants a payment plan program for past due rent and cannot report any tenant participating in the program to collections.",34,8,7,3,-2,-5,0,4,0,15,4,USA
Vermont,Vermont,United States,State,44.5990718,-72.5002608,TRUE,Suspends hearings on evictions except in emergency landlord tenant hearings,2,,https://www.vermontjudiciary.org/sites/default/files/documents/AO%2049%20-%20Declaration%20of%20Judicial%20Emergency%20and%20Changes%20to%20Court%20Procedures%20with%20amendments%20through%204-9-20.pdf,,Eviction Cases & Enforcement Suspended,"The Supreme Court of Vermont had suspended all non-emergency civil cases, at the discretion of the judge but ordered hearings resume on June 1. State lawmakers passed and the governor signed on May 14 emergency legislation that stays evictions cases, orders and executions until the end of the emergency.",13.5,0,2,1,0,0,0,2,0,8.5,0,USA
