municipality,state,Country,admin_scale,lat,lng,passed,end_date_earliest,end_date_legist,end_date_rent_relief,end_date_court,policy_summary,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO,range,has_expired_protections,bool_legist_exist,bool_rent_relief_exist,bool_court_exist
Agoura Hills,California,United States,City,34.14791,-118.7657042,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,"Emergency moratorium on all no-fault evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing (email or text messages acceptable) and provide documentation within 30 days of when rent is due, and will have up to 6 months post-emergency to repay any back rent.",Legistlative Eviction Protection,https://www.ci.agoura-hills.ca.us/home/showdocument?id=22443,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",10,8,4,3,-5.5,1,-1,0,-1,1.5,0,USA,2,TRUE,TRUE,FALSE,FALSE
Alabama,Alabama,United States,State,33.2588817,-86.8295337,TRUE,2020-06-01 07:00:00,,,2020-06-01 07:00:00,"The Governor suspended enforcement of all eviction orders. Alabama has also suspended in-person civil cases throughout the state, which should apply to evictions and foreclosures, although it does allow remote proceedings. Alabama did not implemented statewide orders that to prevent the inititaion of evictions, and continued to allow remote hearings. Cities/counties in the state have shied away from explicitly addressing evictions. However, several utility companies have announced that they will not suspend services to customers during the crisis in Birmingham, Decatur, Mobile, and Piedmont.",,https://governor.alabama.gov/assets/2020/04/2020-04-03-6th-Supplemental-SOE-COVID-19.pdf,,Evictions Can Resume (Remote or In Person),"The Governor had suspended enforcement of eviction orders for nonpayment of rent, but that order lapsed on June 1. Alabama also suspended in-person civil cases throughout the state, which should have applied to evictions and foreclosures, although it did allow remote proceedings. In person proceedings resumed on May 15. Cities/counties in the state have shied away from explicitly addressing evictions. However, several utility companies have announced that they will not suspend services to customers during the crisis in Birmingham, Decatur, Mobile, and Piedmont.",-12,0,0,2,0,0,0,0,0,-14,0,USA,1,TRUE,TRUE,FALSE,TRUE
Alameda,California,United States,City,37.6090291,-121.899142,TRUE,2020-11-30 08:00:00,2020-11-30 08:00:00,2021-01-01 08:00:00,,"Moratorium on evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Also bans residential no-fault evictions for owner move-in or capital improvements. Any tenant unable to pay rent shall take all reasonable steps to timely inform the landlord and, to the extent feasible, make reasonable reduced rent payments commensurate with the tenant's reduced income and financial ability to do so. Tenants will have 180 days to pay any rent deferred from 3/1/20 through 30 days (210 days total) following the end of the statewide or local emergencies, whichever ends first.  Freeze on rent increases for residential rent controlled units (e.g., pre-1995 multi-family units, but not single-family homes, condos or Section 8) until 1/1/21.",Legistlative Eviction Protection,https://www.alamedaca.gov/files/sharedassets/public/alameda/city-manager/ordinance-3275.pdf,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",19.5,8,4,3,2,0,-1,3,0,1.5,-1,USA,3,FALSE,TRUE,TRUE,FALSE
Alameda County,California,United States,County,37.6090291,-121.899142,TRUE,2020-09-30 07:00:00,2020-09-30 07:00:00,2020-09-30 07:00:00,2020-09-30 07:00:00,"Alameda County closed its Eviction Court until April 7th and the Sheriff’s Department suspended all eviction enforcement for the time being. On April 21, the Board of Supervisors strengthened its existing ordinance to include a moratorium on evictions for non-payment of rent and no-fault reasons during the state of emergency. This applies to tenants and homeowners alike. For tenants who are financially impacted by the coronavirus crisis, the ordinance allows a 12-month repayment period without late fees. At the end of 12 months, any remaining back rent is converted into a consumer debt. But impacted tenants can never be evicted for their inability to pay rent during the emergency period. In order to qualify for these protections, tenants must provide documentation or a sworn statement demonstrating financial hardship within 45 days of receiving a request from their landlord or 30 days of the end of the state of emergency, whichever is later. These protections extend to all cities and unincorporated areas of the County alike. This means that renters in cities that have not passed local ordinances, like Dublin, are now protected by the County ordinance. In cities with local ordinances, however, residents are protected by the stronger of the two laws.",Legistlative Eviction Protection,http://ebho.org/our-work/covid19-housing-policy/,http://ebho.org/our-work/covid19-housing-policy/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",17,8,4,3,-3.5,0,0,3,0,1.5,1,USA,2,FALSE,TRUE,TRUE,TRUE
Alaska,Alaska,United States,State,64.4459613,-149.680909,TRUE,2020-06-30 07:00:00,2020-06-30 07:00:00,,,"Moratorium on eviction for nonpayment of rent until the date the governor determines, under sec. 2 of this Act, that the public health disaster emergency no longer exists, or until June 30, 2020, whichever is earlier.",Legistlative Eviction Protection,http://www.akleg.gov/basis/Bill/Text/31?Hsid=SB0241Z,,Eviction Cases can Resume (Remote or In-Person),"On March 20, the Governor issued an executive order that suspends evictions for tenants who recieve rental assistance through the Alaska Housing Finance Corporation. On April 10, the legislature passed a bill that suspends any statute that would give a cause of action for evictions or foreclosures, but only as applied to tenants or mortgagees experiencing financial hardship due to COVID-19. The legislation also suspended utility disconnection due to COVID-19 hardship and provided homeless prevention funding. On April 3, the State Supreme Court placed a moratorium on all non-emergency cases.  On April 24, the Court began holding remote eviction hearings in cases not covered under the legislature's prohibition or the CARES Act moratorium.  On June 1, the Supreme Court's moratorium on in-person proceedings ended and the legislature's prohibition on evictions resulting from COVID-19 financial hardship has expired. Some localities have suspended utility and water shutoffs.",-9,8,2,2,-2,0,-5,0,0,-14,0,USA,1,TRUE,TRUE,FALSE,FALSE
Albany,California,United States,City,37.88687,-122.2977475,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,2020-05-31 07:00:00,,Emergency moratorium on all no-fault evictions of residential tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing of inability to pay within 30 days after rent is due and provide documentation within that period. Tenants will have up to 6 months post-emergency to repay any back rent. Also imposes a rent increase moratorium on property not exempt from rent control per state law.,Legistlative Eviction Protection,https://www.albanyca.org/our-city/covid-19-response-resources/covid-19-tenant-protections,http://ebho.org/our-work/covid19-housing-policy/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",11.5,8,4,3,-5.5,0,-1,3,-0.5,1.5,-1,USA,2,TRUE,TRUE,TRUE,FALSE
Albuquerque,New Mexico,United States,City,35.0841034,-106.6509851,TRUE,,,,,All evictions from city-owned properties are suspended.,Legistlative Eviction Protection,https://www.kob.com/coronavirus/city-of-albuquerque-working-to-protect-renters-from-eviction/5679002/,https://www.lawhelpnewmexico.org/node/32/tenant-rights,Nonpayment Eviction Cases Suspended,"The New Mexico Supreme Court has stayed the execution of writs of restitution for nonpayment of rent under NMSA 1978, Section 47-8-46 (A) if the resident has demonstrated by a preponderance of the evidence a current inability to pay rent. The New Mexico Supreme Court has also stayed the execution of writs of restitution for mobile homes. Landlords can still file for eviction, and courts can still hear eviction cases remotely or in person. Without additional measures, evictions enforcement will proceed when the court's order is lifted. New Mexico Public Regulation Commission ordered suspension of discontinutation residential customer utility service during public health emergency.",8,8,0,2,0,0,0,0,0,-2,0,USA,2,FALSE,FALSE,FALSE,FALSE
Alhambra,California,United States,City,34.093042,-118.12706,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,"Emergency moratorium on all no-fault evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords in writing of inability to pay within 7 days after rent is due (unless there are extenuating circumstances), provide documentation and pay a portion due that 'tenant is able to pay'. Tenants will have up to 6 months post-emergency to repay any back rent. The eviction moratorium will remain in effect during the pay-back period.",Legistlative Eviction Protection,https://drive.google.com/file/d/1XxAiBDLc9CTnFGqiKHKN1m83CJl8cfx-/view,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",14,8,4,3,-5.5,0,-1,3,0,1.5,1,USA,2,TRUE,TRUE,FALSE,FALSE
Allegheny County,Pennsylvania,United States,County,40.4597204,-79.9760405,TRUE,2020-06-01 07:00:00,2020-06-01 07:00:00,,2020-06-01 07:00:00,"All evictions—except those deemed public health threats, such as those involving allegations of violent crimes or drug-related felonies—have been stayed by the courts until June 1, 2020. Any existing Writ of Possession is stayed until June 1, 2020.",,https://www.alleghenycourts.us/downloads/Administration/Covid_19Plan.pdf,,Nonpayment Eviction Cases Suspended,"Governor issued an executive order today extending the PA statewide eviction and foreclosure moratorium (nonpayment and overstayed leases only) until August 31, 2020. All eviction and foreclosure actions must be computed with a start date of August 31, 2020. The state of emergency ordered by the Supreme Court of Pennysylvania ended 6/1, but local courts have the power to declare local emergencies. On 6/29, the Governor announced a rental assistance program for tenants who lost up to 30% of their income or became unemployed. The program offers up to $750/month for 6 months.",6,0,0,2,0,0,0,0,0,4,0,USA,2,TRUE,TRUE,FALSE,TRUE
Anaheim,California,United States,City,33.8347516,-117.911732,TRUE,2020-06-30 07:00:00,2020-06-30 07:00:00,,,"Emergency moratorium on all no-fault evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants must notify landlords before rent is due of inability to pay, and will have up to 90 days post-emergency to repay any back rent. The eviction moratorium will remain in effect during the pay-back period.",Legistlative Eviction Protection,https://www.anaheim.net/5479/Eviction-Protection-Program,https://www.tenantstogether.org/,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. The Governor issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs until September 30, 2020. Since then several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",7.5,8,4,3,-6.5,-2,-3,3,-1.5,1.5,1,USA,2,TRUE,TRUE,FALSE,FALSE
